最近的美術館距離,最近的美術館,最近的公車站距離,最近的公車站,最近的便利商店距離,最近的便利商店,最近的百貨公司距離,最近的百貨公司,最近的交流道距離,最近的交流道,最近的高鐵站距離,最近的高鐵站,最近的圖書館距離,最近的圖書館,最近的超市距離,最近的超市,最近的電影院距離,最近的電影院,最近的捷運站距離,最近的捷運站,最近的博物館距離,最近的博物館,最近的夜市距離,最近的夜市,最近的學校距離,最近的學校,最近的商圈距離,最近的商圈,最近的菜市場距離,最近的菜市場,最近的火車站距離,最近的火車站
9102,桃園市立兒童美術館,8117,桃園公車站,11041,全家便利商店 桃園榮運店,4121,遠東SOGO 中壢店,18648,交流道,6550,高鐵桃園站,8421,桃園市立圖書館 總館,12448,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,14171,桃園統領威秀影城,5449,A20 興南站,18452,祥儀機器人夢工廠,10270,八德興仁花園夜市,11916,桃園市私立康萊爾雙語中小學,4556,中平商圈徒步區,12000,南崁菜市場,5449,A20 興南站
7429,桃園市立兒童美術館,6138,桃園公車站,10932,全家便利商店 桃園榮運店,4159,遠東SOGO 中壢店,17849,交流道,6987,高鐵桃園站,6442,桃園市立圖書館 總館,7544,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,7905,桃園統領威秀影城,2046,內壢火車站,18343,祥儀機器人夢工廠,9363,八德興仁花園夜市,6172,桃園市私立康萊爾雙語中小學,4593,中平商圈徒步區,11890,南崁菜市場,2046,內壢火車站
8818,桃園市立兒童美術館,9710,桃園公車站,8952,全家便利(八德瑞祥店),3140,遠東SOGO 中壢店,13652,交流道,5650,高鐵桃園站,10140,桃園市立圖書館 總館,11850,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,11258,桃園統領威秀影城,2307,中壢火車站,11550,大溪木藝生態博物館,6910,八德興仁花園夜市,10320,桃園市私立康萊爾雙語中小學,2058,中平商圈徒步區,5384,內壢菜市場,2307,中壢火車站
14703,長流當代美術館 桃園館,14528,桃園公車站,13202,全家便利商店 桃園榮運店,2478,遠東SOGO 中壢店,15267,交流道,4870,高鐵桃園站,14831,桃園市立圖書館 總館,14609,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,11929,桃園統領威秀影城,3540,A20 興南站,20613,祥儀機器人夢工廠,10133,八德興仁花園夜市,14077,桃園市私立康萊爾雙語中小學,3302,中平商圈徒步區,14161,南崁菜市場,3540,A20 興南站
8924,桃園市立兒童美術館,8326,桃園公車站,9599,全家便利(八德瑞祥店),716,遠東SOGO 中壢店,13784,交流道,4322,高鐵桃園站,8756,桃園市立圖書館 總館,14103,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,9874,桃園統領威秀影城,754,中壢火車站,17920,大溪木藝生態博物館,7336,八德興仁花園夜市,13571,桃園市私立康萊爾雙語中小學,999,中平商圈徒步區,13655,南崁菜市場,754,中壢火車站
9397,桃園市立兒童美術館,8798,桃園公車站,10557,全家便利(八德瑞祥店),240,遠東SOGO 中壢店,13286,交流道,2973,高鐵桃園站,9228,桃園市立圖書館 總館,14391,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10346,桃園統領威秀影城,777,A21 環北站,17668,大溪木藝生態博物館,8294,八德興仁花園夜市,13860,桃園市私立康萊爾雙語中小學,1064,中平商圈徒步區,13944,南崁菜市場,777,A21 環北站
17192,桃園市立兒童美術館,8329,桃園客運公車總站,12236,全家便利商店 桃園榮運店,1550,GLORIA OUTLETS華泰名品城,6821,大園交流道,5966,高鐵桃園站,14200,桃園市立圖書館 總館,14312,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10496,美麗新台茂影城,1853,"機場捷運A18高鐵桃園站(這是機場捷運,不要打錯電話）",10468,國立歷史博物館桃園二期Ｃ站分部,24401,八德興仁花園夜市,13446,桃園市私立康萊爾雙語中小學,8155,中平商圈徒步區,13195,南崁菜市場,1841,"機場捷運A18高鐵桃園站(這是機場捷運,不要打錯電話）"
6711,桃園市立兒童美術館,6098,桃園公車站,11261,全家便利商店 桃園榮運店,4113,遠東SOGO 中壢店,18868,交流道,7080,高鐵桃園站,6569,桃園市立圖書館 總館,7672,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,7645,桃園統領威秀影城,1328,內壢火車站,18672,祥儀機器人夢工廠,8645,八德興仁花園夜市,6300,桃園市私立康萊爾雙語中小學,4548,中平商圈徒步區,12220,南崁菜市場,1328,內壢火車站
5970,桃園市立兒童美術館,6434,桃園公車站,8411,全家便利(八德瑞祥店),3756,遠東SOGO 中壢店,20818,交流道,6724,高鐵桃園站,6864,桃園市立圖書館 總館,8573,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,7982,桃園統領威秀影城,1664,內壢火車站,12653,新北市立鶯歌陶瓷博物館,6977,八德興仁花園夜市,7043,桃園市私立康萊爾雙語中小學,4161,中平商圈徒步區,14170,南崁菜市場,1664,內壢火車站
8739,桃園市立兒童美術館,8140,桃園公車站,10102,全家便利(八德瑞祥店),1161,遠東SOGO 中壢店,14116,交流道,3719,高鐵桃園站,8570,桃園市立圖書館 總館,13161,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,9688,桃園統領威秀影城,1271,A21 環北站,18519,大溪木藝生態博物館,7839,八德興仁花園夜市,12629,桃園市私立康萊爾雙語中小學,1598,中平商圈徒步區,12713,南崁菜市場,1271,A21 環北站
8544,桃園市立兒童美術館,12499,桃園公車站,10844,全家便利(八德瑞祥店),2219,遠東SOGO 中壢店,18780,交流道,4611,高鐵桃園站,12802,桃園市立圖書館 總館,12580,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,9493,桃園統領威秀影城,2162,A21 環北站,15447,藝師館-大溪木博館群之一,8581,八德興仁花園夜市,12048,桃園市私立康萊爾雙語中小學,2867,中平商圈徒步區,12132,南崁菜市場,2162,A21 環北站
7971,桃園市立兒童美術館,9077,桃園公車站,6975,全家便利(八德瑞祥店),4091,遠東SOGO 中壢店,15061,交流道,7059,高鐵桃園站,9506,桃園市立圖書館 總館,11216,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10625,桃園統領威秀影城,3573,中壢火車站,11529,大溪木藝生態博物館,4712,八德興仁花園夜市,9686,桃園市私立康萊爾雙語中小學,3467,中平商圈徒步區,4777,內壢菜市場,3573,中壢火車站
7482,桃園市立兒童美術館,9451,桃園公車站,6486,全家便利(八德瑞祥店),4466,遠東SOGO 中壢店,15583,交流道,7433,高鐵桃園站,9881,桃園市立圖書館 總館,11591,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10830,桃園統領威秀影城,3948,中壢火車站,11040,大溪木藝生態博物館,4223,八德興仁花園夜市,10061,桃園市私立康萊爾雙語中小學,3989,中平商圈徒步區,5151,內壢菜市場,3948,中壢火車站
7181,桃園市立兒童美術館,5926,桃園公車站,11181,全家便利商店 桃園榮運店,4408,遠東SOGO 中壢店,17922,交流道,7236,高鐵桃園站,6229,桃園市立圖書館 總館,7332,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,7692,桃園統領威秀影城,1798,內壢火車站,13094,祥儀機器人夢工廠,9116,八德興仁花園夜市,5960,桃園市私立康萊爾雙語中小學,4843,中平商圈徒步區,12139,南崁菜市場,1798,內壢火車站
7797,桃園市立兒童美術館,9217,桃園公車站,7475,全家便利(八德瑞祥店),3676,遠東SOGO 中壢店,15183,交流道,6643,高鐵桃園站,9647,桃園市立圖書館 總館,11356,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10765,桃園統領威秀影城,3158,中壢火車站,11669,大溪木藝生態博物館,5212,八德興仁花園夜市,9827,桃園市私立康萊爾雙語中小學,3401,中平商圈徒步區,4891,內壢菜市場,3158,中壢火車站
5673,桃園市立兒童美術館,6082,桃園公車站,8137,全家便利(八德瑞祥店),4496,遠東SOGO 中壢店,17062,交流道,7463,高鐵桃園站,6512,桃園市立圖書館 總館,8222,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,7630,桃園統領威秀影城,2152,內壢火車站,12357,新北市立鶯歌陶瓷博物館,6703,八德興仁花園夜市,6692,桃園市私立康萊爾雙語中小學,4610,中平商圈徒步區,15240,南崁菜市場,2152,內壢火車站
4791,桃園市立兒童美術館,5801,桃園公車站,11847,全家便利商店 桃園榮運店,5178,遠東SOGO 中壢店,22044,交流道,8146,高鐵桃園站,6231,桃園市立圖書館 總館,7941,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,7349,桃園統領威秀影城,2420,內壢火車站,11474,新北市立鶯歌陶瓷博物館,5821,八德興仁花園夜市,6411,桃園市私立康萊爾雙語中小學,5292,中平商圈徒步區,12805,南崁菜市場,2420,內壢火車站
11455,桃園市立兒童美術館,1799,桃園客運公車總站,19810,全家便利(八德瑞祥店),2697,遠東SOGO 中壢店,11288,交流道,2182,高鐵桃園站,16341,桃園市立圖書館 總館,16119,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,8279,桃園青埔新光影城,2126,A21 環北站,19932,大溪木藝生態博物館,10353,八德興仁花園夜市,15588,桃園市私立康萊爾雙語中小學,1774,中平商圈徒步區,6531,內壢菜市場,2126,A21 環北站
18022,桃園市立兒童美術館,4144,高鐵桃園站,15370,全家便利商店 桃園玉山店,2748,GLORIA OUTLETS華泰名品城,7192,大園交流道,4144,高鐵桃園站,15030,桃園市立圖書館 總館,15142,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,11326,美麗新台茂影城,0,桃園體育園區,14021,國立歷史博物館桃園二期Ｃ站分部,13184,八德興仁花園夜市,14276,桃園市私立康萊爾雙語中小學,6287,中平商圈徒步區,14025,南崁菜市場,0,桃園體育園區
8182,桃園市立兒童美術館,9074,桃園公車站,9002,全家便利(八德瑞祥店),3117,遠東SOGO 中壢店,13795,交流道,5694,高鐵桃園站,9504,桃園市立圖書館 總館,11214,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10622,桃園統領威秀影城,2352,中壢火車站,12262,大溪木藝生態博物館,6739,八德興仁花園夜市,9684,桃園市私立康萊爾雙語中小學,2102,中平商圈徒步區,4748,內壢菜市場,2352,中壢火車站
5470,桃園市立兒童美術館,5943,桃園公車站,14231,全家便利商店 桃園榮運店,4446,遠東SOGO 中壢店,17013,交流道,7414,高鐵桃園站,6373,桃園市立圖書館 總館,8083,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,7491,桃園統領威秀影城,2407,內壢火車站,12154,新北市立鶯歌陶瓷博物館,6500,八德興仁花園夜市,6553,桃園市私立康萊爾雙語中小學,4560,中平商圈徒步區,15190,南崁菜市場,2407,內壢火車站
5473,桃園市立兒童美術館,5940,桃園公車站,14228,全家便利商店 桃園榮運店,4443,遠東SOGO 中壢店,17010,交流道,7411,高鐵桃園站,6370,桃園市立圖書館 總館,8080,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,7488,桃園統領威秀影城,2403,內壢火車站,12157,新北市立鶯歌陶瓷博物館,6503,八德興仁花園夜市,6550,桃園市私立康萊爾雙語中小學,4557,中平商圈徒步區,15187,南崁菜市場,2403,內壢火車站
6758,桃園市立兒童美術館,7650,桃園公車站,9057,全家便利(八德瑞祥店),2709,遠東SOGO 中壢店,20119,交流道,5676,高鐵桃園站,8080,桃園市立圖書館 總館,13918,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,9198,桃園統領威秀影城,2366,中壢火車站,13612,大溪木藝生態博物館,6794,八德興仁花園夜市,8260,桃園市私立康萊爾雙語中小學,2609,中平商圈徒步區,3324,內壢菜市場,2366,中壢火車站
9173,桃園市立兒童美術館,8574,桃園公車站,10333,全家便利(八德瑞祥店),497,遠東SOGO 中壢店,13725,交流道,3328,高鐵桃園站,9004,桃園市立圖書館 總館,13937,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10122,桃園統領威秀影城,879,A21 環北站,18750,大溪木藝生態博物館,8070,八德興仁花園夜市,13406,桃園市私立康萊爾雙語中小學,1830,中平商圈徒步區,13489,南崁菜市場,879,A21 環北站
10575,桃園市立兒童美術館,9977,桃園公車站,11736,全家便利(八德瑞祥店),1817,遠東SOGO 中壢店,13121,交流道,1663,高鐵桃園站,10407,桃園市立圖書館 總館,18121,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,11525,桃園統領威秀影城,1246,A21 環北站,21765,大溪木藝生態博物館,9473,八德興仁花園夜市,17589,桃園市私立康萊爾雙語中小學,2235,中平商圈徒步區,17673,南崁菜市場,1246,A21 環北站
7758,桃園市立兒童美術館,7159,桃園公車站,10058,全家便利(八德瑞祥店),1646,遠東SOGO 中壢店,19136,交流道,4614,高鐵桃園站,7589,桃園市立圖書館 總館,12936,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,8707,桃園統領威秀影城,2165,A21 環北站,14612,大溪木藝生態博物館,7795,八德興仁花園夜市,7769,桃園市私立康萊爾雙語中小學,2081,中平商圈徒步區,12488,南崁菜市場,2165,A21 環北站
10144,桃園市立兒童美術館,17537,桃園公車站,11304,全家便利(八德瑞祥店),1385,遠東SOGO 中壢店,12787,交流道,2390,高鐵桃園站,17840,桃園市立圖書館 總館,17618,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,11093,桃園統領威秀影城,814,A21 環北站,21431,大溪木藝生態博物館,9041,八德興仁花園夜市,17086,桃園市私立康萊爾雙語中小學,1803,中平商圈徒步區,17170,南崁菜市場,814,A21 環北站
6471,桃園市立兒童美術館,5858,桃園公車站,11558,全家便利商店 桃園榮運店,4032,遠東SOGO 中壢店,19164,交流道,7000,高鐵桃園站,6288,桃園市立圖書館 總館,7968,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,7406,桃園統領威秀影城,1088,內壢火車站,20574,世界警察博物館,8405,八德興仁花園夜市,6468,桃園市私立康萊爾雙語中小學,4467,中平商圈徒步區,12516,南崁菜市場,1088,內壢火車站
5698,桃園市立兒童美術館,6913,桃園公車站,7655,全家便利(八德瑞祥店),4216,遠東SOGO 中壢店,21608,交流道,7184,高鐵桃園站,7343,桃園市立圖書館 總館,9052,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,8461,桃園統領威秀影城,2959,內壢火車站,12381,新北市立鶯歌陶瓷博物館,5392,八德興仁花園夜市,7522,桃園市私立康萊爾雙語中小學,4261,中平商圈徒步區,2903,內壢菜市場,2959,內壢火車站
7371,桃園市立兒童美術館,9095,桃園公車站,9483,全家便利商店 桃園玉山店,3554,遠東SOGO 中壢店,15782,交流道,6522,高鐵桃園站,9525,桃園市立圖書館 總館,11235,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10643,桃園統領威秀影城,3036,中壢火車站,11604,大溪木藝生態博物館,4786,八德興仁花園夜市,9705,桃園市私立康萊爾雙語中小學,3279,中平商圈徒步區,4769,內壢菜市場,3036,中壢火車站
9370,桃園市立兒童美術館,8771,桃園公車站,10530,全家便利(八德瑞祥店),361,遠東SOGO 中壢店,13519,交流道,3122,高鐵桃園站,9201,桃園市立圖書館 總館,14030,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10319,桃園統領威秀影城,673,A21 環北站,18110,大溪木藝生態博物館,8267,八德興仁花園夜市,13498,桃園市私立康萊爾雙語中小學,1185,中平商圈徒步區,13582,南崁菜市場,673,A21 環北站
10154,桃園市立兒童美術館,9555,桃園公車站,11314,全家便利(八德瑞祥店),1395,遠東SOGO 中壢店,12513,交流道,2426,高鐵桃園站,9985,桃園市立圖書館 總館,17344,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,11103,桃園統領威秀影城,824,A21 環北站,21157,大溪木藝生態博物館,9051,八德興仁花園夜市,16813,桃園市私立康萊爾雙語中小學,1600,中平商圈徒步區,16896,南崁菜市場,824,A21 環北站
9005,桃園市立兒童美術館,8406,桃園公車站,10165,全家便利(八德瑞祥店),152,遠東SOGO 中壢店,13985,交流道,3588,高鐵桃園站,8836,桃園市立圖書館 總館,14183,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,9954,桃園統領威秀影城,1139,A21 環北站,17850,大溪木藝生態博物館,7902,八德興仁花園夜市,13652,桃園市私立康萊爾雙語中小學,930,中平商圈徒步區,13735,南崁菜市場,1139,A21 環北站
9242,桃園市立兒童美術館,10134,桃園公車站,9924,全家便利(八德瑞祥店),2564,遠東SOGO 中壢店,13086,交流道,5075,高鐵桃園站,10564,桃園市立圖書館 總館,18692,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,11682,桃園統領威秀影城,1732,中壢火車站,12521,大溪木藝生態博物館,7334,八德興仁花園夜市,10744,桃園市私立康萊爾雙語中小學,1483,中平商圈徒步區,5808,內壢菜市場,1732,中壢火車站
7791,桃園市立兒童美術館,7192,桃園公車站,10091,全家便利(八德瑞祥店),1985,遠東SOGO 中壢店,19475,交流道,4953,高鐵桃園站,7622,桃園市立圖書館 總館,13275,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,8740,桃園統領威秀影城,2513,中壢火車站,14645,大溪木藝生態博物館,7828,八德興仁花園夜市,7802,桃園市私立康萊爾雙語中小學,2420,中平商圈徒步區,12827,南崁菜市場,2513,中壢火車站
8572,桃園市立兒童美術館,9295,桃園公車站,9391,全家便利(八德瑞祥店),1665,遠東SOGO 中壢店,14180,交流道,5291,高鐵桃園站,9725,桃園市立圖書館 總館,15072,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10843,桃園統領威秀影城,978,中壢火車站,13054,大溪木藝生態博物館,7128,八德興仁花園夜市,14540,桃園市私立康萊爾雙語中小學,1657,中平商圈徒步區,4969,內壢菜市場,978,中壢火車站
9396,橫山書法藝術館,6381,桃園客運公車總站,7226,全家便利商店 中壢環北店,7689,遠東SOGO 中壢店,7509,交流道,7193,高鐵桃園站,6948,桃園市立圖書館中壢分館,12541,家樂福超市中壢成章1店,8839,桃園青埔新光影城,7509,埔心火車站,4176,中央大學崑曲博物館,5765,中壢觀光夜市,11593,桃園市私立有得雙語中小學 Yoder Bilingual Academy,6356,中平商圈徒步區,13088,內壢菜市場,7509,埔心火車站
9396,橫山書法藝術館,6381,桃園客運公車總站,7226,全家便利商店 中壢環北店,7689,遠東SOGO 中壢店,7509,交流道,7193,高鐵桃園站,6948,桃園市立圖書館中壢分館,12541,家樂福超市中壢成章1店,8839,桃園青埔新光影城,7509,埔心火車站,4176,中央大學崑曲博物館,5765,中壢觀光夜市,11593,桃園市私立有得雙語中小學 Yoder Bilingual Academy,6356,中平商圈徒步區,13088,內壢菜市場,7509,埔心火車站
8518,桃園市立兒童美術館,12648,桃園公車站,10818,全家便利(八德瑞祥店),1662,遠東SOGO 中壢店,18929,交流道,4221,高鐵桃園站,12952,桃園市立圖書館 總館,12729,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,9467,桃園統領威秀影城,1772,A21 環北站,15372,大溪木藝生態博物館,8555,八德興仁花園夜市,12198,桃園市私立康萊爾雙語中小學,2100,中平商圈徒步區,12281,南崁菜市場,1772,A21 環北站
10092,桃園市立兒童美術館,9494,桃園公車站,11461,全家便利(八德瑞祥店),1005,遠東SOGO 中壢店,12665,交流道,2984,高鐵桃園站,17718,桃園市立圖書館 總館,17496,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,11041,桃園統領威秀影城,1249,A21 環北站,17261,大溪木藝生態博物館,8611,八德興仁花園夜市,16964,桃園市私立康萊爾雙語中小學,899,中平商圈徒步區,17048,南崁菜市場,1249,A21 環北站
6585,桃園市立兒童美術館,5972,桃園公車站,11671,全家便利商店 桃園榮運店,4314,遠東SOGO 中壢店,19278,交流道,7281,高鐵桃園站,6402,桃園市立圖書館 總館,7724,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,7520,桃園統領威秀影城,1202,內壢火車站,20688,世界警察博物館,8519,八德興仁花園夜市,6352,桃園市私立康萊爾雙語中小學,4749,中平商圈徒步區,12630,南崁菜市場,1202,內壢火車站
16826,桃園市立兒童美術館,13530,桃園公車站,11870,全家便利商店 桃園榮運店,1736,GLORIA OUTLETS華泰名品城,7821,大園交流道,5702,高鐵桃園站,13833,桃園市立圖書館 總館,13945,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,15334,桃園統領威秀影城,1059,桃園,12825,國立歷史博物館桃園二期Ｃ站分部,13524,八德興仁花園夜市,13079,桃園市私立康萊爾雙語中小學,6692,中平商圈徒步區,12828,南崁菜市場,1059,桃園
17805,桃園市立兒童美術館,5561,高鐵桃園站,12849,全家便利商店 桃園榮運店,2373,GLORIA OUTLETS華泰名品城,7099,大園交流道,5561,高鐵桃園站,14813,桃園市立圖書館 總館,14925,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,11109,美麗新台茂影城,2022,桃園體育園區,13804,國立歷史博物館桃園二期Ｃ站分部,14602,八德興仁花園夜市,14059,桃園市私立康萊爾雙語中小學,7750,中平商圈徒步區,13807,南崁菜市場,2022,桃園體育園區
14225,長流當代美術館 桃園館,4598,高鐵桃園站,12725,全家便利商店 桃園榮運店,2406,GLORIA OUTLETS華泰名品城,6988,大園交流道,4598,高鐵桃園站,14688,桃園市立圖書館 總館,14800,家樂福超市桃園中正店Carrefour Market Taoyuan Zhong Zheng Store,10985,美麗新台茂影城,1109,桃園體育園區,13680,國立歷史博物館桃園二期Ｃ站分部,13344,八德興仁花園夜市,13934,桃園市私立康萊爾雙語中小學,6741,中平商圈徒步區,13683,南崁菜市場,1109,桃園體育園區
